Question Number,Question,Choice A,Choice B,Choice C,Choice D,Choice E
375,"The length of time, T, in months, taken by relatives to file for a death benefit has density 
function  
 
 
4
5
4
,
for
, 0
3
( )
0,
otherwise.
t
f t
t
β
β
β

>
<
<

= 

 
Calculate the probability that the relatives of a policyholder will not file for the death 
benefit in the next four months, given that the policyholder died three months ago and the 
relatives have not yet filed for the death benefit.","81
2401","256
2401","81
256","4
4
2401
81
81
2401
β
β


−


−

","4
4
2401
256
256
2401
β
β


−


−


"
376,"A small manufacturing company, consisting of five senior employees and ten junior 
employees, randomly selects four employees to attend a professional conference. 
 
Calculate the probability that at least three senior employees are chosen.",0.060,0.073,0.077,0.099,0.111
377,"In a group of 3000 medical insurance policyholders, 1100 have a high resting heart rate, 
and 1900 have a low or normal resting heart rate.  Of the policyholders with a high 
resting heart rate, 60 were treated for a stroke this year.  Of the policyholders with a low 
or normal resting heart rate, 28 were treated for a stroke this year. 
 
Calculate the probability that a randomly chosen policyholder from the group has a low 
or normal resting heart rate, given that this policyholder was treated for a stroke this year.",0.009,0.015,0.318,0.467,0.633
378,"In a certain year, an insurance company’s profit is modeled by a normal distribution with 
mean 6.72.  The 80th percentile of the profit is 8.40. 
 
Calculate the 90th percentile of the insurance company’s profit in the year.",8.61,8.96,9.28,9.45,12.80
379,"A building experiences a power failure.  The probability density function of the length (in 
days) of this power failure is  
 
(
)
3
4
,
for  0
4
( )
64
0,
otherwise.
x
x
f x

−

<
<
= 

 
 
Calculate the median length (in days) of this power failure.",0.0,4,0.8,3,2.0
380,"Sections of rope are cut from a spool, after which each of the rope's two ends are cleanly 
trimmed and capped with a metal guard. The following information is known: 
 
i) 
The lengths that result by cutting a section of rope from the spool are normally 
distributed with mean 1205 inches and variance 5. 
ii) 
The pieces trimmed from the two ends each have lengths that are normally 
distributed with mean 2 inches and variance 0.50. 
iii) 
Without variation, each of the two guards extends exactly one inch beyond the 
end of the rope to which the guard is attached.  
iv) 
The three lengths mentioned in i) and ii) are mutually independent. 
 
Calculate the probability that the finished product, measured guard tip to guard tip, is at 
least 1200.",0.6915,0.8897,0.9101,0.9332,0.9999
381,"The lifetime (in years) of a car is a random variable with probability density function 



>
=
−
otherwise.
,0
0
for
,
0625
.0
)
(
0625
.0
x
e
x
f
x
 
 
Calculate the probability that the car’s lifetime is less than 20 years, given that the car’s 
lifetime is at least five years.",0.445,0.522,0.608,0.832,0.975
382,"A company’s website consists of 30 pages.  Five pages contain low graphical content, ten 
pages contain moderate graphical content, and fifteen pages contain high graphical 
content.  Four pages are randomly selected from the website without replacement. Let: 
 
X = number of pages selected which contain moderate graphical content, and 
Y = number of pages selected which contain high graphical content. 
 
Calculate the conditional variance of Y, given that X = 3.",0.1875,0.2469,0.5625,0.7500,1.3125
383,"A statistician models the size of unemployment claims that range from 0 to 1 using a 
probability density function proportional to the nth root of the size of the claim, for some 
positive integer n. 
 
Determine the ratio of the 30th percentile to the 20th percentile of the size of an 
unemployment claim.","1.5
n",(1.5)n,"1
(1.5)n
n
+",1,"1
(1.5)n+"
384,"A dental insurance company offers two plans.  The company’s actuary makes the 
following observations: 
 
i) 
The size of a claim under the first plan ranges from 0 to 1 and has a distribution 
with a density function proportional to the square of the size of the claim. 
ii) 
For any p with 0 ≤ p ≤ 1, the (100p) percentile of the sizes of claims under the 
first plan equals the (100p2) percentile of the sizes of claims under the second 
plan. 
 
Determine the density function for the size of a claim under the second plan, for 
0
1.
x
≤
≤","5
2
3","5
6x","4
5x",2x,"1
2
3
2"
385,"A computer manufacturer collects data on how long it takes before its computers fail.  
The time to fail, in years, follows an exponential distribution.  Twenty percent of its 
computers fail within two years.  
 
The probability a randomly selected computer fails before time t, in years, is 0.80. 
 
Calculate t.",3.6,7.2,8.0,14.4,16.0
386,"To discourage traffic violations, county C charges each driver a fine of 1 for the driver’s 
first ticket of this year, 2 for the driver’s second ticket of this year, and generally n for the 
driver’s nth ticket of this year.   
 
The number of traffic tickets a certain driver in county C receives this year is Poisson 
distributed with mean 4. 
 
Calculate the expected value of the total fine this driver is charged for tickets this year.",6,8,10,12,14
387,"When a computer crashes, each of the data files 1, 2,…, d has the same probability of 
being corrupted, independently of the other files.  Given that a crash causes exactly two 
of the d files to be corrupted, the probability that neither of the two most recently created 
files are corrupted is 51
40 .  
 
Calculate the probability that none of the three most recently created files are corrupted, 
given that a crash causes exactly two of the files to be corrupted.",0.523,0.676,0.686,0.695,0.710
388,"Under an insurance policy, no benefit is paid on 75% of the claims filed.  The benefits 
paid on the remaining claims are exponentially distributed with mean 8. 
 
Calculate the variance of the benefit for a randomly selected claim under this policy.",2,14,16,28,32
389,"Four men at a wedding party throw their hats into a big box.  Later, each of them 
randomly selects a hat from the box and places it on his head. 
 
Calculate the probability that none of the four men has his own hat on his head.",0.042,0.250,0.333,0.375,0.500
390,"In a vacation timeshare marketing business, the value of each timeshare point is modeled 
by a random variable, X, which follows a gamma distribution with mean 6 and variance 
18.   
 
Calculate the probability that the value of a timeshare point exceeds 4.",0.54,0.56,0.58,0.60,0.62
391,"The annual profits of each of two car insurance companies, A and B, are normally 
distributed with the same standard deviation. 
 
The mean annual profit of company A is 30. 
 
A profit of 214 is both the 96th percentile of company A’s annual profit and the 90th  
percentile of company B’s annual profit. 
 
Calculate the mean annual profit of company B.",33,42,54,79,105
392,"The amount of time, in years, that a refrigerator functions before breaking down is a 
continuous random variable with density function 
(
5),
for 5
8
( )
(11
),
for 8 < 
11
0,
otherwise,
c x
x
f x
c
x
x
−
≤
≤


=
−
≤


 
where c is a constant. 
 
Calculate the probability that the refrigerator will function between six and eight years 
before breaking down.",0.222,0.278,0.333,0.379,0.444
393,"A homeowner purchases a policy from an insurance company covering losses from 
hurricanes and fires.  Under the policy, the insurance company pays 1000 for each loss. 
 
In each year, the number of hurricanes is Poisson distributed, with a common mean for 
all years.  Similarly, for each year, the number of fires is also Poisson distributed, with a 
common mean for all years.  A hurricane occurs on average once every 10 years, while a 
fire occurs on average once every 50 years.  The numbers of hurricanes and numbers of 
fires in different years are all mutually independent.  
 
Let T be a random variable representing the total payments made by the insurance 
company to the homeowner over the next 40 years. 
 
Calculate the mode of T.",2000,3000,4000,4800,5000
394,"The loss, X, subject to reimbursement under an insurance policy, has density function 
  
(
)
1
,
for
( )
0,
otherwise,
x d
e
x
d
f x
β
β
−
−




≥


= 



 
 
where d is the deductible, and β is a positive constant. 
 
Determine the absolute value of the difference between the mode of X and the 10th 
percentile of X.","11
ln","10
ln
9
β





","11
ln","10
ln
9
d
β

+



","1
11
ln"
395,"An insurer’s losses are modeled by a random variable X, with density function, f, where 
f(x) is proportional to 
2
1
x
,  for x > 100, and 0, otherwise. 
 
Calculate the median of X.",100,120,150,200,300
396,"An insurance policy covers losses incurred by a policyholder, subject to a deductible of 
20.  Losses incurred follow a distribution with probability density function  
 
0.25,
for 0
100
( )
0,
otherwise,
kx
x
f x

<
<
= 

 
 
where k is a constant. 
 
Calculate the 90th percentile of losses that exceed the deductible.",89,90,91,92,93
397,"The combined results of employee satisfaction surveys taken at each of Store A and Store 
B are given in the following table, in which satisfaction is ranked from 0 to 5. 
 
 
 
Satisfaction 
Combined Frequencies 
over Stores A and B 
0 
9 
1 
6 
2 
12 
3 
6 
4 
6 
5 
9 
 
Among only the employees of Store A, the frequency of each response is at least 4.  Store 
A has three modes, each with a frequency of 8. 
 
Calculate the largest possible number of modes for Store B.",0,1,2,3,5
398,"Ten percent of homeowners in a certain city are classified as high-risk, and ninety percent 
are classified as low-risk.  Each homeowner’s classification remains unchanged over the 
next four years. 
 
In any given year, each high-risk homeowner has probability 0.80 of experiencing no 
fires, and each low-risk homeowner has probability 0.99 of experiencing no fires.  For 
each homeowner, the numbers of fires in different years are mutually independent.   
 
A randomly chosen homeowner experiences no fires in the first and second years.  
 
Calculate the probability that this homeowner will experience no fires in the third and 
fourth years.",0.9055,0.9324,0.9461,0.9548,0.9571
